depth,lat,lon,speed,direction,ssh,ndirection,salinity,temp,nspeed,time,model,t###,pressure_dbars,sound_speed_ms
0,30.365109124715236,-90.66562568796853,,,,,,,,2025-08-01 21:06:40,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.65844882678434,,,,,,,,2025-08-01 21:06:41,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.65127196560016,,,,,,,,2025-08-01 21:06:42,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.64409510441598,,,,,,,,2025-08-01 21:06:43,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.6369182432318,,,,,,,,2025-08-01 21:06:44,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.62974138204763,,,,,,,,2025-08-01 21:06:45,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.62256452086343,,,,,,,,2025-08-01 21:06:46,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.61538765967926,,,,,,,,2025-08-01 21:06:47,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.60821079849508,,,,,,,,2025-08-01 21:06:48,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.6010339373109,,,,,,,,2025-08-01 21:06:49,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.59385707612671,,,,,,,,2025-08-01 21:06:50,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.58668021494253,,,,,,,,2025-08-01 21:06:51,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.57950335375835,,,,,,,,2025-08-01 21:06:52,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.57232649257418,,,,,,,,2025-08-01 21:06:53,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.56514963139,,,,,,,,2025-08-01 21:06:54,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.55797277020581,,,,,,,,2025-08-01 21:06:55,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.55079590902163,,,,,,,,2025-08-01 21:06:56,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.54361904783745,,,,,,,,2025-08-01 21:06:57,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.53644218665328,,,,,,,,2025-08-01 21:06:58,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.52926532546908,,,,,,,,2025-08-01 21:06:59,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.5220884642849,,,,,,,,2025-08-01 21:07:00,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.51491160310073,,,,,,,,2025-08-01 21:07:01,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.50773474191655,,,,,,,,2025-08-01 21:07:02,MSR_NGOFS2,t000,0.0,
0,30.365109124715236,-90.50055788073236,,,,,,,,2025-08-01 21:07:03,MSR_NGOFS2,t000,0.0,
